   United States Population from 1790 to 2010
   -----------------------------------------------------
   Year  Total Population
   ----  ---------------- 
   2010       308,745,538
   2000       285,230,516 
   1990       248,709,873 
   1980       226,542,199 
   1970       203,302,031  
   1960       179,323,175 
   1950       151,325,798  
   1940       132,164,569  
   1930       123,202,624  
   1920       106,021,537 
   1910        92,228,496  
   1900        76,212,168 
   1890        62,979,766  
   1880        50,189,209 
   1870        38,558,371 
   1860        31,443,321 
   1850        23,191,876  
   1840        17,063,353 
   1830        12,860,702 
   1820         9,638,453 
   1810         7,239,881 
   1800         5,308,483 
   1790         3,929,214 
   -----------------------------------------------------
   Data from United States Census Bureau (http://www.census.gov/)
 
